date,OVX_index
2018/4/13,28.52
2018/4/16,28.84
2018/4/17,27.88
2018/4/18,29.42
2018/4/19,29.36
2018/4/20,28.99
2018/4/23,28.97
2018/4/24,29.15
2018/4/25,28.16
2018/4/26,26.86
2018/4/27,25.59
2018/4/30,28.28
2018/5/1,28.07
2018/5/2,27.32
2018/5/3,26.69
2018/5/4,26.17
2018/5/7,28.86
2018/5/8,26.76
2018/5/9,26.71
2018/5/10,26.61
2018/5/11,25.74
2018/5/14,25.93
2018/5/15,26.61
2018/5/16,25.73
2018/5/17,25.11
2018/5/18,25.23
2018/5/21,25.79
2018/5/22,25.89
2018/5/23,26.04
2018/5/24,25.37
2018/5/25,27.76
2018/5/28,
2018/5/29,29.04
2018/5/30,27.9
2018/5/31,27.61
2018/6/1,28.65
2018/6/4,29.49
2018/6/5,29.3
2018/6/6,29.14
2018/6/7,28.05
2018/6/8,27.59
2018/6/11,26.86
2018/6/12,26.58
2018/6/13,27.08
2018/6/14,26.69
2018/6/15,27.64
2018/6/18,27.58
2018/6/19,28.01
2018/6/20,28.06
2018/6/21,27.78
2018/6/22,25.52
2018/6/25,26.1
2018/6/26,25.67
2018/6/27,27.69
2018/6/28,27.35
2018/6/29,27.18
2018/7/2,28.65
2018/7/3,28.58
2018/7/4,
2018/7/5,28.77
2018/7/6,28.13
2018/7/9,28.12
2018/7/10,26.9
2018/7/11,28.56
2018/7/12,27.81
2018/7/13,27.54
2018/7/16,29.01
2018/7/17,28
2018/7/18,27.24
2018/7/19,26.84
2018/7/20,26.01
2018/7/23,26.15
2018/7/24,25.65
2018/7/25,25.34
2018/7/26,24.88
2018/7/27,24.97
2018/7/30,25.83
2018/7/31,26.52
2018/8/1,26.45
2018/8/2,25.73
2018/8/3,25.61
2018/8/6,25.42
2018/8/7,25.22
2018/8/8,26.41
2018/8/9,25.4
2018/8/10,25.45
2018/8/13,25.31
2018/8/14,26.18
2018/8/15,27.26
2018/8/16,26.33
2018/8/17,25.71
2018/8/20,25.26
2018/8/21,25.08
2018/8/22,24.72
2018/8/23,24.35
2018/8/24,23.31
2018/8/27,23.68
2018/8/28,24.5
2018/8/29,24.32
2018/8/30,24.89
2018/8/31,25.02
2018/9/3,
2018/9/4,26.7
2018/9/5,26.62
2018/9/6,26.16
2018/9/7,26.07
2018/9/10,26.13
2018/9/11,27.14
2018/9/12,26.94
2018/9/13,26.7
2018/9/14,26.4
2018/9/17,26.49
2018/9/18,26.8
2018/9/19,26.35
2018/9/20,26.07
2018/9/21,26.15
2018/9/24,26.97
2018/9/25,26.83
2018/9/26,26.53
2018/9/27,26.45
2018/9/28,26.73
2018/10/1,27.95
2018/10/2,27.68
2018/10/3,28.04
2018/10/4,28.9
2018/10/5,28.84
2018/10/8,28.86
2018/10/9,27.9
2018/10/10,28.81
2018/10/11,29.29
2018/10/12,27.73
2018/10/15,28.59
2018/10/16,28.59
2018/10/17,28.13
2018/10/18,28.53
2018/10/19,27.42
2018/10/22,27.76
2018/10/23,29.38
2018/10/24,29.8
2018/10/25,28.5
2018/10/26,29.09
2018/10/29,29.46
2018/10/30,29.9
2018/10/31,30.12
2018/11/1,31.54
2018/11/2,32.21
2018/11/5,32.68
2018/11/6,34.15
2018/11/7,33.05
2018/11/8,32.23
2018/11/9,35.1
2018/11/12,40.14
2018/11/13,55.71
2018/11/14,47.07
2018/11/15,43.87
2018/11/16,40.56
2018/11/19,43.45
2018/11/20,56.56
2018/11/21,51.79
2018/11/22,
2018/11/23,65.17
2018/11/26,57.87
2018/11/27,54.64
2018/11/28,53.99
2018/11/29,53.96
2018/11/30,56.04
2018/12/3,49.61
2018/12/4,49.84
2018/12/5,
2018/12/6,50.13
2018/12/7,41.83
2018/12/10,45.06
2018/12/11,41.46
2018/12/12,39.9
2018/12/13,39.25
2018/12/14,42.38
2018/12/17,46.59
2018/12/18,53.35
2018/12/19,50.86
2018/12/20,52.89
2018/12/21,51.76
2018/12/24,56.73
2018/12/25,
2018/12/26,54.07
2018/12/27,57.16
2018/12/28,53.11
2018/12/31,51.87
2019/1/1,
2019/1/2,54.72
2019/1/3,53.57
2019/1/4,51.52
2019/1/7,50.42
2019/1/8,46.08
2019/1/9,44.36
2019/1/10,42.99
2019/1/11,40.99
2019/1/14,40.81
2019/1/15,39.75
2019/1/16,38.77
2019/1/17,37.03
2019/1/18,35.63
2019/1/21,
2019/1/22,38.26
2019/1/23,37.69
2019/1/24,36.75
2019/1/25,35.21
2019/1/28,37.61
2019/1/29,37.13
2019/1/30,35.59
2019/1/31,34.97
2019/2/1,33.4
2019/2/4,33.7
2019/2/5,34.57
2019/2/6,33.02
2019/2/7,34.34
2019/2/8,32.56
2019/2/11,33.34
2019/2/12,32.69
2019/2/13,32.26
2019/2/14,32.1
2019/2/15,29.46
2019/2/18,
2019/2/19,31
2019/2/20,30.76
2019/2/21,30.16
2019/2/22,29.85
2019/2/25,32.69
2019/2/26,31.57
2019/2/27,31.01
2019/2/28,30.27
2019/3/1,30.31
2019/3/4,30.2
2019/3/5,30.21
2019/3/6,29.69
2019/3/7,30.43
2019/3/8,29.77
2019/3/11,29.18
2019/3/12,28.56
2019/3/13,28.13
2019/3/14,27.22
2019/3/15,26.27
2019/3/18,26.48
2019/3/19,28.44
2019/3/20,27.21
2019/3/21,27.14
2019/3/22,27.78
2019/3/25,29.32
2019/3/26,27.92
2019/3/27,28.11
2019/3/28,28.52
2019/3/29,26.75
2019/4/1,26.23
2019/4/2,26.28
2019/4/3,25.57
2019/4/4,25.22
2019/4/5,24
2019/4/8,24.33
2019/4/9,24.66
2019/4/10,24.68
2019/4/11,25.7
2019/4/12,25.7
2019/4/15,25.51
2019/4/16,25.57
2019/4/17,25.19
2019/4/18,24.45
2019/4/19,
2019/4/22,26.07
2019/4/23,26.56
2019/4/24,25.28
2019/4/25,25.57
2019/4/26,31.24
2019/4/29,29.04
2019/4/30,29.31
2019/5/1,29.41
2019/5/2,30.49
2019/5/3,29.88
2019/5/6,30.91
2019/5/7,34.07
2019/5/8,32.23
2019/5/9,32.48
2019/5/10,32.8
2019/5/13,34.6
2019/5/14,32.13
2019/5/15,29.26
2019/5/16,29.42
2019/5/17,29.44
2019/5/20,27.63
2019/5/21,26.93
2019/5/22,28.19
2019/5/23,33.79
2019/5/24,33.19
2019/5/27,
2019/5/28,34.36
2019/5/29,36.43
2019/5/30,39.62
2019/5/31,46.91
2019/6/3,46.78
2019/6/4,43.46
2019/6/5,45.19
2019/6/6,40.66
2019/6/7,38.75
2019/6/10,39.12
2019/6/11,38.69
2019/6/12,43.06
2019/6/13,41.56
2019/6/14,42.89
2019/6/17,46.15
2019/6/18,43.43
2019/6/19,40.79
2019/6/20,41.66
2019/6/21,42.13
2019/6/24,41
2019/6/25,40.26
2019/6/26,38.45
2019/6/27,37.84
2019/6/28,39.46
2019/7/1,35.92
2019/7/2,37.77
2019/7/3,36.72
2019/7/4,
2019/7/5,34.7
2019/7/8,34
2019/7/9,30.3
2019/7/10,30.76
2019/7/11,29.86
2019/7/12,30.39
2019/7/15,30.83
2019/7/16,32.06
2019/7/17,34.94
2019/7/18,33.07
2019/7/19,34.84
2019/7/22,33.63
2019/7/23,32.25
2019/7/24,32.86
2019/7/25,31.95
2019/7/26,32.29
2019/7/29,31.63
2019/7/30,30.07
2019/7/31,30.77
2019/8/1,36.43
2019/8/2,35.56
2019/8/5,37.04
2019/8/6,36.43
2019/8/7,38.1
2019/8/8,35.98
2019/8/9,35.14
2019/8/12,34.43
2019/8/13,33.19
2019/8/14,35.83
2019/8/15,36.2
2019/8/16,35.02
2019/8/19,32.99
2019/8/20,32.34
2019/8/21,32.39
2019/8/22,32.39
2019/8/23,35.2
2019/8/26,35.42
2019/8/27,33.73
2019/8/28,32.72
2019/8/29,31.82
2019/8/30,32.16
2019/9/2,
2019/9/3,35.73
2019/9/4,34.56
2019/9/5,33.5
2019/9/6,33.21
2019/9/9,33.28
2019/9/10,33.55
2019/9/11,34.94
2019/9/12,35.58
2019/9/13,35.48
2019/9/16,48.58
2019/9/17,44.89
2019/9/18,40.44
2019/9/19,41.15
2019/9/20,38.99
2019/9/23,39.06
2019/9/24,38.74
2019/9/25,38.37
2019/9/26,37.52
2019/9/27,38.9
2019/9/30,38.75
2019/10/1,38.88
2019/10/2,39.62
2019/10/3,40.4
2019/10/4,39.31
2019/10/7,39.42
2019/10/8,39.49
2019/10/9,38
2019/10/10,39.52
2019/10/11,39.65
2019/10/14,40.21
2019/10/15,39.47
2019/10/16,39.47
2019/10/17,37.71
2019/10/18,36.43
2019/10/21,36.66
2019/10/22,35.52
2019/10/23,35.66
2019/10/24,35.95
2019/10/25,34.64
2019/10/28,35.64
2019/10/29,35.7
2019/10/30,34.36
2019/10/31,35.84
2019/11/1,34.37
2019/11/4,35.63
2019/11/5,33.77
2019/11/6,33.22
2019/11/7,31.45
2019/11/8,31.45
2019/11/11,34.22
2019/11/12,33.74
2019/11/13,35.15
2019/11/14,33.94
2019/11/15,32.42
2019/11/18,33.68
2019/11/19,32.94
2019/11/20,32.2
2019/11/21,31.59
2019/11/22,32.38
2019/11/25,31.9
2019/11/26,31.25
2019/11/27,30.82
2019/11/28,
2019/11/29,36.73
2019/12/2,34.97
2019/12/3,35.05
2019/12/4,32.21
